t,raw
37262.0,1.210064
37263.0,0.9939953
37264.0,0.5347122
37265.0,0.31688455
37266.0,-0.21861024
37267.0,-0.25783172
37268.0,-0.7631522
37269.0,-1.0099787
37270.0,-0.9163187
37271.0,-0.85568154
37272.0,-1.2109584
37273.0,-1.4271221
37274.0,-1.582395
37275.0,-1.6230606
37276.0,-1.7821113
37277.0,-1.8496032
37278.0,-1.7042165
37279.0,-1.7645005
37280.0,-1.6517373
37281.0,-1.6826878
37282.0,-1.546734
37283.0,-1.2950407
37284.0,-1.2204695
37285.0,-1.2645751
37286.0,-1.3474479
37287.0,-1.1012113
37288.0,-0.8928201
37289.0,-1.0849522
37290.0,-1.1696657
37291.0,-1.2680403
37292.0,-1.1196678
37293.0,-1.2169453
37294.0,-1.268377
37295.0,-1.1941991
37296.0,-1.3344337
37297.0,-1.2539203
37298.0,-1.5380257
37299.0,-1.4196423
37300.0,-1.1895018
37301.0,-1.0423696
37302.0,-1.1682062
37303.0,-0.9583652
37304.0,-0.8818039
37305.0,-0.9732404
37306.0,-1.004276
37307.0,-1.0411906
37308.0,-1.0946041
37309.0,-0.9867474
37310.0,-1.113032
37311.0,-0.7815407
37312.0,-0.7412207
37313.0,-0.9070245
37314.0,-0.8499111
37315.0,-0.810978
37316.0,-0.4512921
37317.0,-0.42139018
37318.0,-0.2764705
37319.0,-0.10631986
37320.0,-0.19559689
37321.0,-0.4810211
37322.0,-0.31376687
37323.0,-0.51995283
37324.0,-0.41620678
37325.0,-0.34341338
37326.0,-0.42146915
37327.0,-0.24457838
37328.0,-0.11326494
37329.0,-0.63486296
37330.0,-0.7150868
37331.0,-0.98891324
37332.0,-0.7728191
37333.0,-1.0477881
37334.0,-0.88343513
37335.0,-0.6411845
37336.0,-1.1870112
37337.0,-1.5307204
37338.0,-1.597556
37339.0,-1.4292995
37340.0,-1.3561288
37341.0,-0.9889707
37342.0,-0.71423566
37343.0,-0.8014663
37344.0,-1.0159796
37345.0,-1.2558153
37346.0,-1.3992041
37347.0,-1.4449764
37348.0,-1.4835018
37349.0,-1.3676355
37350.0,-1.4079146
37351.0,-1.179736
37352.0,-0.95993495
37353.0,-0.8962298
37354.0,-0.6213035
37355.0,-0.5046321
37356.0,-0.3657455
37357.0,-0.59424746
37358.0,-0.7823717
37359.0,-0.6322518
37360.0,-0.6274515
37361.0,-0.638348
37362.0,-0.839788
37363.0,-1.0697194
37364.0,-1.4698294
37365.0,-1.4515167
37366.0,-1.6269399
37367.0,-1.3072811
37368.0,-1.4369166
37369.0,-0.9643486
37370.0,-0.7564792
37371.0,-0.78442675
37372.0,-0.69238245
37373.0,-0.85135096
37374.0,-0.86861163
37375.0,-1.1546633
37376.0,-0.9940052
37377.0,-0.6105883
37378.0,-0.56086624
37379.0,-0.65370715
37380.0,-0.50955755
37381.0,-0.4542397
37382.0,-0.48192576
37383.0,-0.5412308
37384.0,-0.6094049
37385.0,-0.75595933
37386.0,-0.69601935
37387.0,-0.6140833
37388.0,-0.6742164
37389.0,-0.5316635
37390.0,-0.6113798
37391.0,-0.48170167
37392.0,-0.5296939
37393.0,-0.31310433
37394.0,-0.2641815
37395.0,-0.4092244
37396.0,-0.295949
37397.0,-0.20954534
37398.0,-0.10361982
37399.0,0.054270275
37400.0,-0.18590793
37401.0,-0.17655843
37402.0,-0.11270668
37403.0,-0.18436854
37404.0,-0.3284357
37405.0,-0.19244415
37406.0,0.10625463
37407.0,-0.15289459
37408.0,0.008125024
37409.0,-0.33917603
37410.0,-0.5590858
37411.0,-0.43709245
37412.0,-0.22158267
37413.0,-0.23375052
37414.0,-0.18884133
37415.0,-0.4288875
37416.0,-0.5353903
37417.0,-0.65976256
37418.0,-0.82462835
37419.0,-0.7021876
37420.0,-0.73623174
37421.0,-0.8615243
37422.0,-0.43175632
37423.0,-0.055232715
37424.0,0.032407787
37425.0,0.04160141
37426.0,0.05605926
37427.0,-0.097634874
37428.0,0.031241154
37429.0,0.080572456
37430.0,0.28739884
37431.0,0.5751757
37432.0,0.6250408
37433.0,0.7271904
37434.0,0.58187675
37435.0,0.37035942
37436.0,-0.12562136
37437.0,-0.28990078
37438.0,-0.028683353
37439.0,-0.025642151
